question,answer
What renewable energy source converts energy from the sunlight into electricity?,solar energy
"If force is applied further away from a pivot point, than what kind of acceleration will be greater?",angular
What is the transfer of heat by a current?,convection
What is the name for the stratospheric gas layer that protects living things from uv radiation?,ozone layer
What is the foundation species of coral reef ecosystems?,coral
Did the the open circulatory systems of molluscs and arthropods arise dependently or independently of each other?,independently
What do herbivores eat?,plants
"Most vascular plants are seed plants, also known as?",spermatophytes
Lactose is a disaccharide consisting of the monomers glucose and what?,galactose
"What lipid, added to certain foods to keep them fresher longer, increases the risk of heart disease?",trans fat
Where do most of the steps of cellular respiration take place?,mitochondria
"Categorized based on how they produce their mrna using the baltimore classification method, what consist of a nucleic acid core surrounded by a protein capsid with or without an outer lipid envelope?",viruses
"Like earth, the moon has a distinct crust, mantle, and what else?",core
What kind of bonds are there between carbon atoms in saturated fatty acids?,single
The pull of the moon’s gravity on earth is the main cause of what water phenomenon?,tides
What is the process of removing wastes and excess water from the body called?,excretion
Amides are actually formed by bringing together an amine-containing molecule and molecule containing what?,carboxylic acid
What is the term for the movement of substances due to random thermal molecular motion?,diffusion
What do prevailing winds influence?,climate
"When lactose is present in the cell, what allows the lac genes to be expressed?",nonbinding of repressor protein
"Chloroplasts, leucoplasts and chromoplasts are found in what type of cells?",plant cells
What disease refers to the dangerous buildup of fatty materials in blood vessels?,atherosclerosis
What system lets flatworms maintain a proper balance of water and salts?,excretory
The actinides are all what type of elements?,radioactive
What is the smallest main part of the brain?,the stem
What french chemist discovered the radioactive elements polonium and radium?,marie curie
